45,Partido da Social Democracia Brasileira,5000
15,Movimento Democrático Brasileiro,3000
17,Partido Social Liberal,1000
90,Partido Republicano da Ordem Social,1200
10,REPUBLICANOS,2000
10,REPUBLICANOS,9000
50,Partido Socialismo e Liberdade,30
25,Democratas,300
15,Movimento Democrático Brasileiro,100
12,Partido Democrático Trabalhista,10
45,Partido da Social Democracia Brasileira,500
55,Partido Social Democrático,2500
15,Movimento Democrático Brasileiro,66
15,Movimento Democrático Brasileiro,2700
25,Democratas,8500
25,Democratas,5200
55,Partido Social Democrático,1000
65,Partido Comunista do Brasil,500
90,Partido Republicano da Ordem Social,4000
23,Cidadania,3000
25,Democratas,1000
19,Podemos,350
19,Podemos,60
19,Podemos,720
19,Podemos,298.63
45,Partido da Social Democracia Brasileira,5000
23,Cidadania,2500
45,Partido da Social Democracia Brasileira,3000
22,Partido Liberal,5000
45,Partido da Social Democracia Brasileira,500
25,Democratas,128.31
18,Rede Sustentabilidade,500
13,Partido dos Trabalhadores,4700
55,Partido Social Democrático,700
45,Partido da Social Democracia Brasileira,14000
45,Partido da Social Democracia Brasileira,13000
45,Partido da Social Democracia Brasileira,21500
45,Partido da Social Democracia Brasileira,6000
45,Partido da Social Democracia Brasileira,2700
10,REPUBLICANOS,6400
25,Democratas,200
40,Partido Socialista Brasileiro,200
45,Partido da Social Democracia Brasileira,200
45,Partido da Social Democracia Brasileira,4000
45,Partido da Social Democracia Brasileira,5000
50,Partido Socialismo e Liberdade,1000
50,Partido Socialismo e Liberdade,1000
19,Podemos,300
65,Partido Comunista do Brasil,3946
45,Partido da Social Democracia Brasileira,3000
12,Partido Democrático Trabalhista,3000
55,Partido Social Democrático,1900
55,Partido Social Democrático,100
22,Partido Liberal,15
22,Partido Liberal,150
45,Partido da Social Democracia Brasileira,2500
25,Democratas,1607.5
45,Partido da Social Democracia Brasileira,25000
50,Partido Socialismo e Liberdade,2000
23,Cidadania,6000
45,Partido da Social Democracia Brasileira,3000
22,Partido Liberal,400
55,Partido Social Democrático,1000
55,Partido Social Democrático,1000
55,Partido Social Democrático,1000
55,Partido Social Democrático,1000
55,Partido Social Democrático,1000
11,PROGRESSISTAS,500
12,Partido Democrático Trabalhista,1000
45,Partido da Social Democracia Brasileira,2500
45,Partido da Social Democracia Brasileira,2500
45,Partido da Social Democracia Brasileira,1500
19,Podemos,200
45,Partido da Social Democracia Brasileira,1000
40,Partido Socialista Brasileiro,5000
10,REPUBLICANOS,142
10,REPUBLICANOS,142
10,REPUBLICANOS,142
10,REPUBLICANOS,142
10,REPUBLICANOS,142
10,REPUBLICANOS,180
10,REPUBLICANOS,142
10,REPUBLICANOS,142
10,REPUBLICANOS,142
10,REPUBLICANOS,142
10,REPUBLICANOS,140
